metric,auc,raw_auc,dense_needed_direction,gmean,tpr,fpr,routed_accuracy,dense_fraction,accuracy_gap_vs_dense,best_routed_accuracy_any_threshold,best_routed_dense_fraction,best_routed_accuracy_dense_le_60,best_routed_dense_fraction_dense_le_60,best_routed_accuracy_dense_le_75,best_routed_dense_fraction_dense_le_75,accuracy_at_min_dense_fraction_for_87p5,min_dense_fraction_for_87p5_accuracy,note
sparse_prefix_pred_wrong_oracle_warning,0.8685481820493263,0.8685481820493263,higher,0.8685051594360944,0.8771929824561403,0.14009661835748793,0.9053030303030303,0.29924242424242425,-0.011363636363636354,0.9053030303030303,0.29924242424242425,0.9053030303030303,0.29924242424242425,0.9053030303030303,0.29924242424242425,0.9053030303030303,0.29924242424242425,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
sparse_prefix_low_confidence_margin,0.7714213068904143,0.7714213068904143,higher,0.7258266371143135,0.7368421052631579,0.28502415458937197,0.8560606060606061,0.38257575757575757,0.037878787878787845,0.8939393939393939,0.9166666666666666,0.8863636363636364,0.5833333333333334,0.8901515151515151,0.6325757575757576,0.8825757575757576,0.5378787878787878,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
sparse_prefix_entropy,0.6977709975421647,0.6977709975421647,higher,0.6498645441601042,0.5789473684210527,0.27053140096618356,0.8257575757575758,0.3371212121212121,0.06818181818181812,0.8939393939393939,0.7462121212121212,0.875,0.5984848484848485,0.8939393939393939,0.7462121212121212,0.875,0.5984848484848485,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
rank_vote_input_features,0.6930248326129332,0.6930248326129332,higher,0.6881240474187674,0.6491228070175439,0.27053140096618356,0.8371212121212122,0.3522727272727273,0.05681818181818177,0.8939393939393939,0.9696969696969697,0.8674242424242424,0.5265151515151515,0.8787878787878788,0.6704545454545454,0.875,0.6515151515151515,Exploratory same-set rank-vote over input-only metrics.
sparse_prefix_low_confidence_max_rate,0.66340367827782,0.66340367827782,higher,0.6297966206415149,0.6842105263157895,0.42028985507246375,0.8446969696969697,0.4772727272727273,0.0492424242424242,0.8977272727272727,0.9507575757575758,0.8560606060606061,0.571969696969697,0.8825757575757576,0.75,0.875,0.6628787878787878,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
latest_age_mean,0.5938638867700653,0.4061361132299347,lower,0.5873197483661834,0.6491228070175439,0.46859903381642515,0.8446969696969697,0.5075757575757576,0.0492424242424242,0.8939393939393939,0.9696969696969697,0.8484848484848485,0.5227272727272727,0.8484848484848485,0.5227272727272727,0.875,0.7992424242424242,
latest_age_std,0.5922535808119332,0.40774641918806676,lower,0.5771300325731098,0.5263157894736842,0.3671497584541063,0.821969696969697,0.4015151515151515,0.0719696969696969,0.8977272727272727,0.8787878787878788,0.8446969696969697,0.5946969696969697,0.875,0.7386363636363636,0.875,0.7386363636363636,
coarse_lzc640,0.5776336977709975,0.42236630222900245,lower,0.560743637111981,0.6140350877192983,0.48792270531400966,0.8257575757575758,0.5151515151515151,0.06818181818181812,0.8939393939393939,0.9507575757575758,0.8409090909090909,0.5946969696969697,0.875,0.7234848484848485,0.875,0.7234848484848485,
temporal_std,0.5746249682176455,0.4253750317823545,lower,0.5633072223016298,0.5614035087719298,0.43478260869565216,0.8333333333333334,0.4621212121212121,0.06060606060606055,0.8939393939393939,0.9621212121212122,0.8371212121212122,0.48863636363636365,0.8636363636363636,0.7159090909090909,0.875,0.8636363636363636,
x_spread_entropy,0.5741164505466565,0.5741164505466565,higher,0.5568000300044901,0.543859649122807,0.42995169082125606,0.8143939393939394,0.45454545454545453,0.07954545454545447,0.8939393939393939,0.9583333333333334,0.8295454545454546,0.5606060606060606,0.8446969696969697,0.7386363636363636,0.875,0.8939393939393939,
coarse_time_std,0.5688617679464362,0.43113823205356383,lower,0.5695913219941335,0.7719298245614035,0.5797101449275363,0.8636363636363636,0.6212121212121212,0.030303030303030276,0.8939393939393939,0.9848484848484849,0.8484848484848485,0.5946969696969697,0.8712121212121212,0.6704545454545454,0.875,0.8522727272727273,
sparse_prefix_output_spikes,0.5651750148317655,0.43482498516823453,lower,0.5580923521074299,0.6140350877192983,0.4927536231884058,0.8295454545454546,0.5189393939393939,0.06439393939393934,0.8977272727272727,0.9734848484848485,0.8409090909090909,0.5795454545454546,0.8674242424242424,0.75,0.875,0.8371212121212122,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
transition_coarse_cells,0.5634375794558861,0.4365624205441139,lower,0.555123147255971,0.631578947368421,0.5120772946859904,0.8295454545454546,0.5378787878787878,0.06439393939393934,0.8977272727272727,0.9659090909090909,0.8371212121212122,0.571969696969697,0.8636363636363636,0.7462121212121212,0.875,0.7992424242424242,
count_per_one,0.562929061784897,0.43707093821510296,lower,0.5763953027620804,0.7017543859649122,0.5265700483091788,0.8409090909090909,0.5643939393939394,0.05303030303030298,0.8939393939393939,0.9924242424242424,0.8446969696969697,0.5909090909090909,0.8560606060606061,0.7272727272727273,0.875,0.8825757575757576,
q0_count,0.5474192728197305,0.4525807271802695,lower,0.5514467945790075,0.45614035087719296,0.3333333333333333,0.8068181818181818,0.35984848484848486,0.08712121212121215,0.8939393939393939,0.9583333333333334,0.8371212121212122,0.5833333333333334,0.8598484848484849,0.7083333333333334,0.875,0.8598484848484849,
siti_spatial_sobel_std_max,0.5405542842613781,0.4594457157386219,lower,0.5393256046265059,0.6842105263157895,0.5748792270531401,0.8371212121212122,0.5984848484848485,0.05681818181818177,0.8939393939393939,1.0,0.8371212121212122,0.5984848484848485,0.8522727272727273,0.6628787878787878,0.875,0.8674242424242424,
q0_ones,0.5405119077887957,0.4594880922112044,lower,0.5558097562348633,0.47368421052631576,0.34782608695652173,0.803030303030303,0.375,0.09090909090909094,0.8977272727272727,0.9772727272727273,0.8409090909090909,0.5871212121212122,0.8598484848484849,0.6818181818181818,0.875,0.8901515151515151,
siti_spatial_sobel_std_mean,0.5403000254258836,0.45969997457411643,lower,0.5393256046265059,0.6842105263157895,0.5748792270531401,0.8371212121212122,0.5984848484848485,0.05681818181818177,0.8939393939393939,1.0,0.8371212121212122,0.5984848484848485,0.8522727272727273,0.7348484848484849,0.875,0.8560606060606061,
siti_temporal_mse_mean,0.5399610136452242,0.4600389863547758,lower,0.5391684355703852,0.6140350877192983,0.5265700483091788,0.8257575757575758,0.5454545454545454,0.06818181818181812,0.8939393939393939,1.0,0.8371212121212122,0.5909090909090909,0.8522727272727273,0.6515151515151515,0.875,0.8636363636363636,
spatial_max,0.5391558606661582,0.46084413933384183,lower,0.5408164325941643,0.5087719298245614,0.4251207729468599,0.8106060606060606,0.4431818181818182,0.08333333333333337,0.8939393939393939,0.9734848484848485,0.8371212121212122,0.5871212121212122,0.8712121212121212,0.6893939393939394,0.875,0.7537878787878788,
active_ms,0.5385202135774217,0.5385202135774217,higher,0.4755216690118391,0.8070175438596491,0.7198067632850241,0.8636363636363636,0.7386363636363636,0.030303030303030276,0.8939393939393939,0.9772727272727273,-1.0,0.0,0.8636363636363636,0.7386363636363636,0.875,0.8636363636363636,
count_gt1,0.5339435545385203,0.4660564454614798,lower,0.5288522658020733,0.5789473684210527,0.5169082125603864,0.8257575757575758,0.5303030303030303,0.06818181818181812,0.8939393939393939,1.0,0.8257575757575758,0.5189393939393939,0.8522727272727273,0.7234848484848485,0.875,0.8484848484848485,
polarity_balance,0.5339435545385203,0.5339435545385203,higher,0.5614988477398876,0.7017543859649122,0.5507246376811594,0.8522727272727273,0.5833333333333334,0.04166666666666663,0.8939393939393939,1.0,0.8522727272727273,0.5833333333333334,0.8560606060606061,0.6477272727272727,0.875,0.9583333333333334,
cv_logreg_l1_input_features,0.533011272141707,0.533011272141707,higher,0.5707804492216444,0.543859649122807,0.40096618357487923,0.8181818181818182,0.4318181818181818,0.07575757575757569,0.8939393939393939,0.9772727272727273,0.8371212121212122,0.5984848484848485,0.8446969696969697,0.6818181818181818,0.875,0.9204545454545454,Cross-validated tiny model; useful as a generalization warning.
spatial_entropy,0.5315704720739045,0.5315704720739045,higher,0.5348281873006976,0.43859649122807015,0.34782608695652173,0.7992424242424242,0.36742424242424243,0.09469696969696972,0.8939393939393939,0.9242424242424242,0.8106060606060606,0.4583333333333333,0.8598484848484849,0.7462121212121212,0.875,0.8636363636363636,
coarse_per_one,0.53131621323841,0.53131621323841,higher,0.5584718777222607,0.5614035087719298,0.4444444444444444,0.8143939393939394,0.4696969696969697,0.07954545454545447,0.8939393939393939,1.0,0.8371212121212122,0.5833333333333334,0.8598484848484849,0.7310606060606061,0.875,0.8371212121212122,
siti_temporal_sad_max,0.5309772014577506,0.4690227985422494,lower,0.543707892838588,0.5614035087719298,0.47342995169082125,0.821969696969697,0.49242424242424243,0.0719696969696969,0.8939393939393939,0.9810606060606061,0.8333333333333334,0.5757575757575758,0.8484848484848485,0.6742424242424242,0.875,0.8484848484848485,
coarse_time_max,0.5309348249851682,0.46906517501483175,lower,0.5298129428260175,0.42105263157894735,0.3333333333333333,0.8068181818181818,0.3522727272727273,0.08712121212121215,0.8939393939393939,1.0,0.8295454545454546,0.5265151515151515,0.8484848484848485,0.6477272727272727,0.875,0.8598484848484849,
coarse_time_gini,0.5309348249851682,0.4690651750148318,lower,0.5477457675633371,0.5263157894736842,0.42995169082125606,0.803030303030303,0.45075757575757575,0.09090909090909094,0.8977272727272727,0.9090909090909091,0.8106060606060606,0.5075757575757576,0.8522727272727273,0.7310606060606061,0.875,0.8446969696969697,
temporal_center,0.5299601661157725,0.5299601661157725,higher,0.5446423671336592,0.43859649122807015,0.32367149758454106,0.8106060606060606,0.3484848484848485,0.08333333333333337,0.8939393939393939,1.0,0.8257575757575758,0.5189393939393939,0.8522727272727273,0.7007575757575758,0.875,0.8257575757575758,
coarse_time_entropy,0.5297059072802779,0.5297059072802779,higher,0.5269256573370009,0.45614035087719296,0.391304347826087,0.8068181818181818,0.4053030303030303,0.08712121212121215,0.8939393939393939,0.8863636363636364,0.8143939393939394,0.5681818181818182,0.8484848484848485,0.7386363636363636,0.875,0.821969696969697,
siti_temporal_sad_mean,0.5295364013899483,0.4704635986100517,lower,0.5269256573370009,0.45614035087719296,0.391304347826087,0.8068181818181818,0.4053030303030303,0.08712121212121215,0.8939393939393939,0.9924242424242424,0.8295454545454546,0.5795454545454546,0.8522727272727273,0.75,0.875,0.8484848484848485,
q3_count,0.5293668954996187,0.47063310450038137,lower,0.5402676588023055,0.7192982456140351,0.5942028985507246,0.8409090909090909,0.6212121212121212,0.05303030303030298,0.8939393939393939,1.0,0.8295454545454546,0.5871212121212122,0.8484848484848485,0.7424242424242424,0.875,0.8295454545454546,
early_late_diff,0.5289855072463768,0.5289855072463768,higher,0.5907729074600744,0.5087719298245614,0.3140096618357488,0.8106060606060606,0.3560606060606061,0.08333333333333337,0.8939393939393939,0.9924242424242424,0.8143939393939394,0.571969696969697,0.8371212121212122,0.7348484848484849,0.875,0.928030303030303,
spatial_gini,0.528095601322146,0.47190439867785405,lower,0.5308517143921717,0.43859649122807015,0.357487922705314,0.803030303030303,0.375,0.09090909090909094,0.8939393939393939,0.9431818181818182,0.8143939393939394,0.48484848484848486,0.8484848484848485,0.7424242424242424,0.875,0.8598484848484849,
siti_spatial_sobel_mean_mean,0.5263157894736842,0.4736842105263158,lower,0.5360153767466217,0.5263157894736842,0.45410628019323673,0.8181818181818182,0.4696969696969697,0.07575757575757569,0.8939393939393939,0.9242424242424242,0.8295454545454546,0.5378787878787878,0.8522727272727273,0.7424242424242424,0.875,0.8825757575757576,
eventcloud_anisotropy,0.5256377659123654,0.47436223408763456,lower,0.5252340778277518,0.6140350877192983,0.5507246376811594,0.8257575757575758,0.5643939393939394,0.06818181818181812,0.8939393939393939,0.9090909090909091,0.8295454545454546,0.5833333333333334,0.8598484848484849,0.7007575757575758,0.875,0.8484848484848485,
count_sum,0.5245359776252225,0.47546402237477753,lower,0.5314899493258801,0.5789473684210527,0.5120772946859904,0.8257575757575758,0.5265151515151515,0.06818181818181812,0.8939393939393939,1.0,0.8295454545454546,0.5795454545454546,0.8484848484848485,0.7159090909090909,0.875,0.8560606060606061,
polarity_count_balance,0.5236036952284092,0.4763963047715908,lower,0.5591543746704584,0.543859649122807,0.4251207729468599,0.8181818181818182,0.45075757575757575,0.07575757575757569,0.8939393939393939,0.9924242424242424,0.8371212121212122,0.5946969696969697,0.8674242424242424,0.75,0.875,0.7803030303030303,
time_max,0.523179930502585,0.47682006949741496,lower,0.5191477300578377,0.5263157894736842,0.48792270531400966,0.8106060606060606,0.4962121212121212,0.08333333333333337,0.8977272727272727,0.9848484848484849,0.821969696969697,0.5643939393939394,0.8560606060606061,0.7121212121212122,0.8787878787878788,0.8636363636363636,
cv_extra_trees_depth2_input_features,0.5221628951606068,0.5221628951606068,higher,0.5232131619927461,0.5964912280701754,0.5410628019323671,0.821969696969697,0.553030303030303,0.0719696969696969,0.8939393939393939,1.0,0.8257575757575758,0.5909090909090909,0.8598484848484849,0.7234848484848485,0.875,0.8522727272727273,Cross-validated tiny model; useful as a generalization warning.
vca_lite_fft_highfreq_mean,0.5216543774896177,0.5216543774896177,higher,0.5421468563329318,0.5964912280701754,0.5072463768115942,0.8257575757575758,0.5265151515151515,0.06818181818181812,0.8939393939393939,0.9924242424242424,0.8257575757575758,0.5265151515151515,0.8712121212121212,0.7234848484848485,0.875,0.8636363636363636,
last_first_ratio,0.520976353928299,0.520976353928299,higher,0.5468165968051548,0.42105263157894735,0.2898550724637681,0.8068181818181818,0.3181818181818182,0.08712121212121215,0.8939393939393939,0.9772727272727273,0.8257575757575758,0.5454545454545454,0.8560606060606061,0.7462121212121212,0.875,0.8863636363636364,
cv_random_forest_depth2_input_features,0.5197898126959911,0.5197898126959911,higher,0.5443310539518174,0.6666666666666666,0.5555555555555556,0.8371212121212122,0.5795454545454546,0.05681818181818177,0.8939393939393939,1.0,0.8371212121212122,0.5795454545454546,0.8560606060606061,0.7348484848484849,0.875,0.9128787878787878,Cross-validated tiny model; useful as a generalization warning.
q3_ones,0.5187304008814306,0.48126959911856937,lower,0.5331616809963825,0.45614035087719296,0.37681159420289856,0.803030303030303,0.3939393939393939,0.09090909090909094,0.8939393939393939,1.0,0.8181818181818182,0.5946969696969697,0.8484848484848485,0.7462121212121212,0.875,0.8598484848484849,
cv_tree_depth2_input_features,0.518264259683024,0.48173574031697597,lower,0.514226787433633,0.5263157894736842,0.4975845410628019,0.8143939393939394,0.5037878787878788,0.07954545454545447,0.8939393939393939,1.0,0.8143939393939394,0.5037878787878788,0.8446969696969697,0.6704545454545454,0.875,0.9015151515151515,Cross-validated tiny model; useful as a generalization warning.
y_spread_entropy,0.5175862361217052,0.4824137638782948,lower,0.5288522658020733,0.5789473684210527,0.5169082125603864,0.8181818181818182,0.5303030303030303,0.07575757575757569,0.8939393939393939,0.9810606060606061,0.8257575757575758,0.5909090909090909,0.8522727272727273,0.7424242424242424,0.875,0.8712121212121212,
cv_gradient_boost_depth2_input_features,0.5172048478684634,0.5172048478684634,higher,0.5253147527499429,0.6491228070175439,0.5748792270531401,0.8409090909090909,0.5909090909090909,0.05303030303030298,0.8977272727272727,0.9810606060606061,0.8409090909090909,0.5909090909090909,0.8712121212121212,0.7083333333333334,0.875,0.8143939393939394,Cross-validated tiny model; useful as a generalization warning.
eventcloud_trace,0.5169929655055513,0.4830070344944487,lower,0.5511393249177585,0.5614035087719298,0.45893719806763283,0.821969696969697,0.4810606060606061,0.0719696969696969,0.8939393939393939,1.0,0.8257575757575758,0.5,0.8560606060606061,0.75,0.875,0.928030303030303,
time_entropy,0.5164844478345623,0.5164844478345623,higher,0.5633072223016298,0.5614035087719298,0.43478260869565216,0.8181818181818182,0.4621212121212121,0.07575757575757569,0.8939393939393939,0.9621212121212122,0.8409090909090909,0.5946969696969697,0.8522727272727273,0.6893939393939394,0.875,0.8977272727272727,
polarity_absdiff,0.5162725654716501,0.4837274345283499,lower,0.517512615035526,0.7017543859649122,0.6183574879227053,0.8409090909090909,0.6363636363636364,0.05303030303030298,0.8977272727272727,0.9848484848484849,0.8257575757575758,0.5946969696969697,0.8636363636363636,0.7348484848484849,0.875,0.8257575757575758,
popcount_prefix_ones,0.5136876006441224,0.48631239935587756,lower,0.542459423009998,0.543859649122807,0.45893719806763283,0.821969696969697,0.4772727272727273,0.0719696969696969,0.8939393939393939,0.9810606060606061,0.8333333333333334,0.5984848484848485,0.8409090909090909,0.6401515151515151,0.875,0.8371212121212122,
q2_count,0.5133062123908807,0.48669378760911935,lower,0.514226787433633,0.45614035087719296,0.42028985507246375,0.7954545454545454,0.42803030303030304,0.09848484848484851,0.8939393939393939,1.0,0.821969696969697,0.5681818181818182,0.8560606060606061,0.7272727272727273,0.875,0.8106060606060606,
q1_ones,0.5123739299940673,0.5123739299940673,higher,0.5176763589456623,0.5964912280701754,0.5507246376811594,0.821969696969697,0.5606060606060606,0.0719696969696969,0.8939393939393939,0.9886363636363636,0.8257575757575758,0.5833333333333334,0.8598484848484849,0.7386363636363636,0.875,0.8560606060606061,
coarse_active_cells,0.5105093652004407,0.4894906347995593,lower,0.5430840166803464,0.5263157894736842,0.4396135265700483,0.821969696969697,0.4583333333333333,0.0719696969696969,0.8939393939393939,0.9962121212121212,0.8295454545454546,0.5833333333333334,0.8484848484848485,0.6553030303030303,0.875,0.9507575757575758,
time_gini,0.5102127298923638,0.4897872701076363,lower,0.5511393249177585,0.5614035087719298,0.45893719806763283,0.8181818181818182,0.4810606060606061,0.07575757575757569,0.8939393939393939,0.9583333333333334,0.8371212121212122,0.5833333333333334,0.8522727272727273,0.6287878787878788,0.875,0.9242424242424242,
late_early_ratio,0.5099584710568692,0.49004152894313074,lower,0.5681014127668824,0.5614035087719298,0.4251207729468599,0.8143939393939394,0.45454545454545453,0.07954545454545447,0.8939393939393939,1.0,0.8143939393939394,0.45454545454545453,0.8371212121212122,0.7196969696969697,0.875,0.9507575757575758,
sparse_prefix_nonzero_classes,0.5096618357487923,0.5096618357487923,higher,0.1390096093713831,1.0,0.9806763285024155,0.8977272727272727,0.9848484848484849,-0.0037878787878787845,0.8977272727272727,0.9848484848484849,-1.0,0.0,-1.0,0.0,0.8977272727272727,0.9848484848484849,Model-assisted prefix metric. Uses sparse model on first 400 ms; not a pure input-complexity metric.
eventcloud_linearity,0.5091956945503856,0.4908043054496144,lower,0.4978128279403869,0.5964912280701754,0.5845410628019324,0.821969696969697,0.5871212121212122,0.0719696969696969,0.8939393939393939,0.9431818181818182,0.821969696969697,0.5871212121212122,0.8598484848484849,0.7462121212121212,0.875,0.8257575757575758,
time_burstiness,0.5070768709212645,0.4929231290787354,lower,0.5446423671336592,0.49122807017543857,0.3961352657004831,0.8143939393939394,0.4166666666666667,0.07954545454545447,0.8977272727272727,0.9621212121212122,0.8257575757575758,0.5189393939393939,0.8522727272727273,0.7462121212121212,0.875,0.8863636363636364,
q1_count,0.506525976777693,0.506525976777693,higher,0.5191477300578377,0.5263157894736842,0.48792270531400966,0.8068181818181818,0.4962121212121212,0.08712121212121215,0.8939393939393939,0.9886363636363636,0.8295454545454546,0.5946969696969697,0.8522727272727273,0.75,0.875,0.8484848484848485,
transition_10ms_active,0.5063564708873634,0.5063564708873634,higher,0.13213291302305402,0.017543859649122806,0.004830917874396135,0.7234848484848485,0.007575757575757576,0.17045454545454541,0.8939393939393939,1.0,0.7234848484848485,0.007575757575757576,0.7234848484848485,0.007575757575757576,0.8939393939393939,1.0,
timeline_10ms_lzc,0.5063564708873634,0.5063564708873634,higher,0.13213291302305402,0.017543859649122806,0.004830917874396135,0.7234848484848485,0.007575757575757576,0.17045454545454541,0.8939393939393939,1.0,0.7234848484848485,0.007575757575757576,0.7234848484848485,0.007575757575757576,0.8939393939393939,1.0,
latest_seen_fraction,0.5025849648275277,0.5025849648275277,higher,0.5408164325941643,0.5087719298245614,0.4251207729468599,0.8143939393939394,0.4431818181818182,0.07954545454545447,0.8939393939393939,0.9962121212121212,0.8181818181818182,0.5189393939393939,0.8371212121212122,0.7007575757575758,0.875,0.9204545454545454,
center_edge_ratio,0.5019069412662089,0.5019069412662089,higher,0.537594217800117,0.543859649122807,0.46859903381642515,0.8143939393939394,0.48484848484848486,0.07954545454545447,0.8939393939393939,0.9962121212121212,0.8181818181818182,0.5946969696969697,0.8484848484848485,0.7196969696969697,0.875,0.9545454545454546,
vca_lite_fft_highfreq_max,0.501313670650055,0.501313670650055,higher,0.48627226633843323,0.543859649122807,0.5652173913043478,0.8106060606060606,0.5606060606060606,0.08333333333333337,0.8939393939393939,0.9696969696969697,0.8106060606060606,0.5492424242424242,0.8598484848484849,0.7196969696969697,0.875,0.821969696969697,
spatial_active_4x4,0.5012289177048902,0.5012289177048902,higher,0.529172685259402,0.49122807017543857,0.42995169082125606,0.7992424242424242,0.4431818181818182,0.09469696969696972,0.8939393939393939,1.0,0.7992424242424242,0.4431818181818182,0.8333333333333334,0.7386363636363636,0.875,0.9659090909090909,
q2_ones,0.5010594118145606,0.49894058818543946,lower,0.5178400510790643,0.49122807017543857,0.45410628019323673,0.803030303030303,0.4621212121212121,0.09090909090909094,0.8977272727272727,0.9886363636363636,0.8181818181818182,0.5984848484848485,0.8560606060606061,0.75,0.875,0.8333333333333334,
